"","GDP_n","GDP_deflator","GDP_real","C_n","C_deflator","C_real","I_n","I_deflator","I_real","cpi","W_n","W_real","R_n","R_real","NX","G_n","i","wageShare","profitShare","G_share","I_share","C_share","NX_share","oecd_real"
"52",635.7387,101.97074,623.452080469358,336.2323,102.957925,326.572529506592,162.2332,101.9133231,159.187430127082,102.0979295,358.3173,350.954521560596,259.2083,253.882033915291,46.686,71.68318,1.4713333333,0.563623545333956,0.407727734680931,0.11275572810024,0.255188491749834,0.528884430033912,0.0734358314194181,49942.9277927289
"53",643.6456,102.0357173,630.804209576522,340.6427,102.0625648,333.758710323925,169.0786,101.3861191,166.767010613389,101.3908482,367.5107,362.469302234321,259.2799,255.72317877108,58.5775,72.82803,0.6454166667,0.57098300679753,0.402830222097378,0.113149270343804,0.262688970452062,0.529239538031488,0.0910089341090812,50657.6069978013
"54",654.6117,101.9471067,642.109149724403,346.8772,101.6341852,341.299730319479,171.689,101.8128479,168.631959071248,101.1705024,376.0943,371.743038808909,261.4131,258.388654596619,68.3593,74.70807,0.9493333333,0.574530366628033,0.399340708392471,0.114125778686815,0.262276094362505,0.529897647720015,0.104427250536463,51502.2534208651
"55",665.6184,101.2812655,657.197949407534,349.4766,101.3909801,344.682140024012,175.8443,101.7764897,172.774970445851,101.1571454,382.0184,377.648458237336,266.3468,263.300035748142,69.6311,76.42388,0.69275,0.573930047606857,0.400149394908554,0.114816357240124,0.264181849540217,0.525040473640753,0.104611140557412,52640.8575717859
"56",668.0064,100,668.0064,353.1626,100,353.1626,176.4285,100,176.4285,100,389.1544,389.1544,261.9088,261.9088,70.2705,77.07168,-0.0686666667,0.582560885644209,0.392075285506247,0.115375661071511,0.264111990543803,0.528681461734498,0.105194351431364,53977.2930224291
"57",677.8483,99.4167084,681.825329875838,358.2671,99.8140469,358.934549922552,179.6286,99.196394,181.083800284111,99.5653813,393.9145,395.63399934471,267.3978,268.565033858812,68.2561,78.05398,-0.362,0.581124862303262,0.394480298910538,0.115149628611593,0.264998230430024,0.52853580956093,0.100695244053869,54993.7982114055
"58",684.5585,99.0509859,691.117300630523,365.3565,100.6288869,363.073180331482,185.85,99.1252445,187.490079784873,100.0968492,399.3557,398.969301423326,268.0434,267.784053286664,62.1249,78.78851,-0.0720833333,0.583377023293115,0.39155660180978,0.115093903588956,0.271488850112883,0.533711143751776,0.0907517765099696,56511.2714257723
"59",709.5216,99.8080213,710.886350373925,372.3055,101.8679982,365.478370615513,188.7519,99.8856948,188.967900136186,101.0340915,408.1816,404.00383072678,284.7567,281.842193830188,74.6975,79.92704,0.0331666667,0.575291294866851,0.401336196107349,0.112649199122338,0.266026996218297,0.52472750653398,0.105278683552411,57846.2493927255
"60",716.8786,99.7043259,719.00451011424,375.674,101.5572451,369.91353953141,190.8489,100.0963102,190.665269897231,101.4007303,420.1989,414.394352739686,280.2485,276.377200806018,70.2769,81.40087,-0.489,0.586150709478564,0.390928812772483,0.113549030477406,0.266222063261478,0.524041309086364,0.0980318006423961,58860.7181290371
"61",696.62,99.2443428,701.924140304751,361.4737,101.9395846,354.596010390256,188.045,101.8334299,184.659399358992,100.6646878,415.0103,412.269991662359,266.6808,264.919909680582,44.6194,84.4753,-0.5238333333,0.595748471189458,0.38282105021389,0.121264534466424,0.269939134678878,0.518896528954093,0.0640512761620396,56388.6839022109
"62",743.3302,101.6092915,731.557310386324,368.9341,102.3556689,360.443250447069,195.7677,101.7604025,192.381019719335,101.2503692,433.6067,428.251969277757,297.4474,293.774138652721,91.5705,88.78204,-0.23225,0.583329857982361,0.400155139667405,0.119438225434672,0.263365728985584,0.496325993481766,0.123189532727178,59753.3537478362
"63",781.4603,104.6661455,746.621838672754,393.7605,105.0241857,374.923640088742,205.1369,107.4565965,190.902100644887,104.1208455,457.0361,438.947741737268,307.2572,295.096720089542,107.0732,88.8767,0.8288333333,0.584848776067063,0.393183377325758,0.113731561283407,0.262504569969837,0.503877804157166,0.137016813266138,61530.8413916128
